Label,label_idx,n_pos,n_total,threshold,sensitivity,sensitivity_ci,specificity,specificity_ci,f1,f1_ci,ppv,ppv_ci,npv,npv_ci,auroc,auroc_ci,auprc,auprc_ci
SINUS RHYTHM,3,1679,2000,0.07,0.999,"(0.998, 1.0)",0.016,"(0.004, 0.028)",0.914,"(0.901, 0.923)",0.842,"(0.826, 0.858)",0.833,"(0.096, 1.0)",0.831,"(0.815, 0.85)",0.961,"(0.951, 0.967)"
SINUS BRADYCARDIA,4,67,2000,0.99,0.761,"(0.633, 0.841)",0.915,"(0.904, 0.924)",0.36,"(0.301, 0.433)",0.236,"(0.178, 0.297)",0.991,"(0.987, 0.995)",0.945,"(0.923, 0.966)",0.398,"(0.298, 0.524)"
ATRIAL FIBRILLATION,5,147,2000,0.83,0.918,"(0.88, 0.966)",0.997,"(0.995, 0.999)",0.941,"(0.917, 0.96)",0.964,"(0.941, 0.986)",0.994,"(0.99, 0.997)",0.997,"(0.995, 0.999)",0.958,"(0.908, 0.986)"
SINUS TACHYCARDIA,6,95,2000,0.92,0.947,"(0.899, 0.987)",0.99,"(0.984, 0.994)",0.878,"(0.831, 0.92)",0.818,"(0.759, 0.878)",0.997,"(0.995, 1.0)",0.99,"(0.976, 0.997)",0.861,"(0.784, 0.925)"
LEFT AXIS DEVIATION,8,499,2000,0.04,0.832,"(0.807, 0.861)",0.803,"(0.789, 0.83)",0.687,"(0.668, 0.719)",0.585,"(0.551, 0.623)",0.935,"(0.92, 0.949)",0.899,"(0.885, 0.911)",0.741,"(0.712, 0.783)"
T WAVE ABNORMAL,14,189,2000,0.45,0.545,"(0.465, 0.621)",0.88,"(0.87, 0.895)",0.405,"(0.348, 0.456)",0.322,"(0.275, 0.373)",0.949,"(0.939, 0.957)",0.845,"(0.824, 0.866)",0.381,"(0.326, 0.46)"
LOW QRS VOLTAGES,15,24,2000,0.83,0.292,"(0.117, 0.495)",0.983,"(0.976, 0.987)",0.215,"(0.119, 0.332)",0.171,"(0.063, 0.235)",0.991,"(0.988, 0.996)",0.863,"(0.782, 0.921)",0.092,"(0.055, 0.215)"
PREMATURE ATRIAL CONTRACTION,16,51,2000,0.66,0.902,"(0.84, 0.954)",0.974,"(0.969, 0.979)",0.622,"(0.504, 0.704)",0.474,"(0.369, 0.582)",0.997,"(0.995, 0.999)",0.983,"(0.975, 0.99)",0.497,"(0.399, 0.601)"
INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,18,106,2000,0.25,0.726,"(0.654, 0.775)",0.966,"(0.961, 0.974)",0.623,"(0.545, 0.674)",0.546,"(0.455, 0.608)",0.984,"(0.979, 0.99)",0.966,"(0.958, 0.976)",0.673,"(0.595, 0.768)"
LEFT BUNDLE BRANCH BLOCK,20,45,2000,0.98,0.822,"(0.709, 0.938)",0.998,"(0.996, 0.999)",0.86,"(0.8, 0.931)",0.902,"(0.814, 0.98)",0.996,"(0.994, 0.998)",0.967,"(0.927, 0.998)",0.88,"(0.789, 0.961)"
T WAVE INVERSION,23,34,2000,0.24,0.529,"(0.357, 0.712)",0.949,"(0.94, 0.957)",0.235,"(0.165, 0.328)",0.151,"(0.095, 0.219)",0.991,"(0.986, 0.995)",0.902,"(0.867, 0.926)",0.1,"(0.071, 0.162)"
ATRIAL FLUTTER,32,9,2000,0.98,0.556,"(0.191, 0.866)",0.999,"(0.998, 1.0)",0.625,"(0.23, 0.8)",0.714,"(0.371, 1.0)",0.998,"(0.996, 0.999)",0.984,"(0.96, 0.997)",0.514,"(0.209, 0.774)"
SINUS ARRHYTHMIA,34,73,2000,0.56,0.548,"(0.455, 0.665)",0.972,"(0.965, 0.979)",0.482,"(0.412, 0.56)",0.43,"(0.336, 0.53)",0.983,"(0.977, 0.988)",0.919,"(0.88, 0.946)",0.38,"(0.276, 0.493)"
LEFT ANTERIOR FASCICULAR BLOCK,36,164,2000,0.04,0.841,"(0.795, 0.893)",0.966,"(0.96, 0.975)",0.758,"(0.727, 0.812)",0.69,"(0.619, 0.753)",0.986,"(0.979, 0.99)",0.976,"(0.967, 0.983)",0.832,"(0.788, 0.871)"
RIGHT AXIS DEVIATION,37,38,2000,0.31,0.711,"(0.596, 0.835)",0.988,"(0.983, 0.993)",0.614,"(0.525, 0.711)",0.54,"(0.439, 0.658)",0.994,"(0.991, 0.997)",0.981,"(0.961, 0.991)",0.58,"(0.415, 0.725)"
1ST DEGREE AV BLOCK,79,89,2000,0.01,0.629,"(0.517, 0.722)",0.951,"(0.942, 0.958)",0.469,"(0.398, 0.528)",0.373,"(0.294, 0.432)",0.982,"(0.974, 0.987)",0.907,"(0.885, 0.934)",0.422,"(0.347, 0.547)"
