Label,n_pos,reason
ABNORMAL ECG,0,all zeros — AUROC undefined
NORMAL SINUS RHYTHM,0,all zeros — AUROC undefined
SINUS RHYTHM,0,all zeros — AUROC undefined
BORDERLINE ECG,0,all zeros — AUROC undefined
SEPTAL INFARCT,0,all zeros — AUROC undefined
PREMATURE SUPRAVENTRICULAR COMPLEXES,0,all zeros — AUROC undefined
NONSPECIFIC T WAVE ABNORMALITY NOW EVIDENT IN,0,all zeros — AUROC undefined
NONSPECIFIC T WAVE ABNORMALITY NO LONGER EVIDENT IN,0,all zeros — AUROC undefined
T WAVE INVERSION NOW EVIDENT IN,0,all zeros — AUROC undefined
NONSPECIFIC ST ABNORMALITY,0,all zeros — AUROC undefined
T WAVE INVERSION NO LONGER EVIDENT IN,0,all zeros — AUROC undefined
WITH RAPID VENTRICULAR RESPONSE,0,all zeros — AUROC undefined
QT HAS SHORTENED,0,all zeros — AUROC undefined
QT HAS LENGTHENED,0,all zeros — AUROC undefined
MARKED SINUS BRADYCARDIA,0,all zeros — AUROC undefined
WITH SINUS ARRHYTHMIA,0,all zeros — AUROC undefined
NONSPECIFIC ST AND T WAVE ABNORMALITY,0,all zeros — AUROC undefined
ECTOPIC ATRIAL RHYTHM,0,all zeros — AUROC undefined
UNDETERMINED RHYTHM,0,all zeros — AUROC undefined
RIGHTWARD AXIS,0,all zeros — AUROC undefined
ST NOW DEPRESSED IN,0,all zeros — AUROC undefined
WITH SHORT PR,0,all zeros — AUROC undefined
WITH MARKED SINUS ARRHYTHMIA,0,all zeros — AUROC undefined
ST NO LONGER DEPRESSED IN,0,all zeros — AUROC undefined
INVERTED T WAVES HAVE REPLACED NONSPECIFIC T WAVE ABNORMALITY IN,0,all zeros — AUROC undefined
NON-SPECIFIC CHANGE IN ST SEGMENT IN,0,all zeros — AUROC undefined
NONSPECIFIC T WAVE ABNORMALITY HAS REPLACED INVERTED T WAVES IN,0,all zeros — AUROC undefined
JUNCTIONAL RHYTHM,0,all zeros — AUROC undefined
ELECTRONIC ATRIAL PACEMAKER,0,all zeros — AUROC undefined
ABERRANT CONDUCTION,0,all zeros — AUROC undefined
ELECTRONIC VENTRICULAR PACEMAKER,0,all zeros — AUROC undefined
T WAVE INVERSION LESS EVIDENT IN,0,all zeros — AUROC undefined
ANTEROLATERAL INFARCT,0,all zeros — AUROC undefined
WITH REPOLARIZATION ABNORMALITY,0,all zeros — AUROC undefined
RSR' OR QR PATTERN IN V1 SUGGESTS RIGHT VENTRICULAR CONDUCTION DELAY,0,all zeros — AUROC undefined
T WAVE INVERSION MORE EVIDENT IN,0,all zeros — AUROC undefined
WIDE QRS RHYTHM,0,all zeros — AUROC undefined
WITH PREMATURE VENTRICULAR OR ABERRANTLY CONDUCTED COMPLEXES,0,all zeros — AUROC undefined
INCOMPLETE LEFT BUNDLE BRANCH BLOCK,0,all zeros — AUROC undefined
VOLTAGE CRITERIA FOR LEFT VENTRICULAR HYPERTROPHY,0,all zeros — AUROC undefined
OR DIGITALIS EFFECT,0,all zeros — AUROC undefined
BIFASCICULAR BLOCK,0,all zeros — AUROC undefined
ST NO LONGER ELEVATED IN,0,all zeros — AUROC undefined
WITH SLOW VENTRICULAR RESPONSE,0,all zeros — AUROC undefined
ST ELEVATION NOW PRESENT IN,0,all zeros — AUROC undefined
PREMATURE ECTOPIC COMPLEXES,0,all zeros — AUROC undefined
T WAVE AMPLITUDE HAS DECREASED IN,0,all zeros — AUROC undefined
WITH A COMPETING JUNCTIONAL PACEMAKER,0,all zeros — AUROC undefined
RIGHT SUPERIOR AXIS DEVIATION,0,all zeros — AUROC undefined
BIATRIAL ENLARGEMENT,0,all zeros — AUROC undefined
VENTRICULAR-PACED RHYTHM,0,all zeros — AUROC undefined
ATRIAL-PACED RHYTHM,0,all zeros — AUROC undefined
T WAVE AMPLITUDE HAS INCREASED IN,0,all zeros — AUROC undefined
WITH QRS WIDENING,0,all zeros — AUROC undefined
WITH PROLONGED AV CONDUCTION,0,all zeros — AUROC undefined
WITH QRS WIDENING AND REPOLARIZATION ABNORMALITY,0,all zeros — AUROC undefined
ATRIAL-SENSED VENTRICULAR-PACED RHYTHM,0,all zeros — AUROC undefined
AV SEQUENTIAL OR DUAL CHAMBER ELECTRONIC PACEMAKER,0,all zeros — AUROC undefined
ACUTE MI / STEMI,0,all zeros — AUROC undefined
INFERIOR-POSTERIOR INFARCT,0,all zeros — AUROC undefined
NONSPECIFIC INTRAVENTRICULAR CONDUCTION DELAY,0,all zeros — AUROC undefined
PREMATURE VENTRICULAR AND FUSION COMPLEXES,0,all zeros — AUROC undefined
IN A PATTERN OF BIGEMINY,0,all zeros — AUROC undefined
AV DUAL-PACED RHYTHM,0,all zeros — AUROC undefined
VENTRICULAR-PACED COMPLEXES,0,all zeros — AUROC undefined
WIDE QRS TACHYCARDIA,0,all zeros — AUROC undefined
RSR' PATTERN IN V1,0,all zeros — AUROC undefined
ST LESS DEPRESSED IN,0,all zeros — AUROC undefined
ST MORE DEPRESSED IN,0,all zeros — AUROC undefined
ANTEROLATERAL LEADS,0,all zeros — AUROC undefined
ELECTRONIC DEMAND PACING,0,all zeros — AUROC undefined
RBBB AND LEFT ANTERIOR FASCICULAR BLOCK,0,all zeros — AUROC undefined
LATERAL INJURY PATTERN,0,all zeros — AUROC undefined
BIVENTRICULAR PACEMAKER DETECTED,0,all zeros — AUROC undefined
SUSPECT UNSPECIFIED PACEMAKER FAILURE,0,all zeros — AUROC undefined
WOLFF-PARKINSON-WHITE,0,all zeros — AUROC undefined
INFERIOR INJURY PATTERN,0,all zeros — AUROC undefined
CONSIDER RIGHT VENTRICULAR INVOLVEMENT IN ACUTE INFERIOR INFARCT,0,all zeros — AUROC undefined
ST ELEVATION HAS REPLACED ST DEPRESSION IN,0,all zeros — AUROC undefined
NONSPECIFIC INTRAVENTRICULAR BLOCK,0,all zeros — AUROC undefined
MASKED BY FASCICULAR BLOCK,0,all zeros — AUROC undefined
PEDIATRIC ECG ANALYSIS,0,all zeros — AUROC undefined
BLOCKED,0,all zeros — AUROC undefined
WITH UNDETERMINED RHYTHM IRREGULARITY,0,all zeros — AUROC undefined
LEFTWARD AXIS,0,all zeros — AUROC undefined
WITH 2ND DEGREE SA BLOCK MOBITZ I,0,all zeros — AUROC undefined
ACUTE,0,all zeros — AUROC undefined
ABNORMAL LEFT AXIS DEVIATION,0,all zeros — AUROC undefined
NO P-WAVES FOUND,0,all zeros — AUROC undefined
ST LESS ELEVATED IN,0,all zeros — AUROC undefined
WITH RETROGRADE CONDUCTION,0,all zeros — AUROC undefined
ST MORE ELEVATED IN,0,all zeros — AUROC undefined
JUNCTIONAL BRADYCARDIA,0,all zeros — AUROC undefined
ANTERIOR INJURY PATTERN,0,all zeros — AUROC undefined
ACUTE MI,0,all zeros — AUROC undefined
POSTERIOR INFARCT,0,all zeros — AUROC undefined
IDIOVENTRICULAR RHYTHM,0,all zeros — AUROC undefined
WITH 2ND DEGREE SA BLOCK MOBITZ II,0,all zeros — AUROC undefined
R IN AVL,0,all zeros — AUROC undefined
SINUS/ATRIAL CAPTURE,0,all zeros — AUROC undefined
AV DUAL-PACED COMPLEXES,0,all zeros — AUROC undefined
INFEROLATERAL INJURY PATTERN,0,all zeros — AUROC undefined
RBBB AND LEFT POSTERIOR FASCICULAR BLOCK,0,all zeros — AUROC undefined
ANTEROLATERAL INJURY PATTERN,0,all zeros — AUROC undefined
ATRIAL-PACED COMPLEXES,0,all zeros — AUROC undefined
WITH SINUS PAUSE,0,all zeros — AUROC undefined
BIVENTRICULAR HYPERTROPHY,0,all zeros — AUROC undefined
ABNORMAL RIGHT AXIS DEVIATION,0,all zeros — AUROC undefined
SUPRAVENTRICULAR COMPLEXES,0,all zeros — AUROC undefined
WITH 2ND DEGREE AV BLOCK MOBITZ I,0,all zeros — AUROC undefined
MULTIFOCAL ATRIAL TACHYCARDIA,0,all zeros — AUROC undefined
