Label,n_pos,AUROC,AUROC_CI
LEFT AXIS DEVIATION,54,0.928,"(np.float64(0.91), np.float64(0.945))"
RIGHT BUNDLE BRANCH BLOCK,290,0.92,"(np.float64(0.906), np.float64(0.933))"
PREMATURE ATRIAL COMPLEXES,1,0.912,"(np.float64(0.907), np.float64(0.918))"
LEFT ANTERIOR FASCICULAR BLOCK,323,0.895,"(np.float64(0.883), np.float64(0.907))"
RIGHT AXIS DEVIATION,335,0.888,"(np.float64(0.877), np.float64(0.9))"
ANTEROSEPTAL INFARCT,14,0.86,"(np.float64(0.797), np.float64(0.935))"
RIGHT VENTRICULAR HYPERTROPHY,693,0.841,"(np.float64(0.829), np.float64(0.854))"
ANTERIOR INFARCT,5,0.798,"(np.float64(0.472), np.float64(0.999))"
ATRIAL FLUTTER,31,0.762,"(np.float64(0.7), np.float64(0.822))"
INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,336,0.718,"(np.float64(0.692), np.float64(0.743))"
ATRIAL FIBRILLATION,25,0.709,"(np.float64(0.6), np.float64(0.805))"
PREMATURE VENTRICULAR COMPLEXES,6,0.708,"(np.float64(0.204), np.float64(0.961))"
LOW VOLTAGE QRS,277,0.679,"(np.float64(0.645), np.float64(0.712))"
LEFT POSTERIOR FASCICULAR BLOCK,19,0.672,"(np.float64(0.499), np.float64(0.795))"
VOLTAGE CRITERIA FOR LEFT VENTRICULAR HYPERTROPHY,805,0.67,"(np.float64(0.649), np.float64(0.693))"
LEFT VENTRICULAR HYPERTROPHY,348,0.668,"(np.float64(0.634), np.float64(0.7))"
SINUS BRADYCARDIA,935,0.632,"(np.float64(0.613), np.float64(0.649))"
VENTRICULAR TACHYCARDIA,81,0.629,"(np.float64(0.58), np.float64(0.676))"
NONSPECIFIC ST AND T WAVE ABNORMALITY,884,0.622,"(np.float64(0.604), np.float64(0.643))"
PULMONARY DISEASE PATTERN,3,0.617,"(np.float64(0.195), np.float64(0.844))"
EARLY REPOLARIZATION,249,0.615,"(np.float64(0.581), np.float64(0.648))"
WITH COMPLETE HEART BLOCK,67,0.6,"(np.float64(0.539), np.float64(0.671))"
FUSION COMPLEXES,27,0.598,"(np.float64(0.506), np.float64(0.718))"
NONSPECIFIC T WAVE ABNORMALITY,2544,0.592,"(np.float64(0.577), np.float64(0.603))"
WITH VENTRICULAR ESCAPE COMPLEXES,32,0.59,"(np.float64(0.493), np.float64(0.681))"
WITH SINUS ARRHYTHMIA,1975,0.572,"(np.float64(0.561), np.float64(0.584))"
SUPRAVENTRICULAR TACHYCARDIA,66,0.558,"(np.float64(0.497), np.float64(0.632))"
NONSPECIFIC ST ABNORMALITY,326,0.555,"(np.float64(0.524), np.float64(0.581))"
WOLFF-PARKINSON-WHITE,34,0.552,"(np.float64(0.45), np.float64(0.671))"
NORMAL ECG,1759,0.55,"(np.float64(0.535), np.float64(0.562))"
INFERIOR INFARCT,8,0.546,"(np.float64(0.298), np.float64(0.765))"
otherwise normal ecg,621,0.535,"(np.float64(0.514), np.float64(0.553))"
LEFT ATRIAL ENLARGEMENT,184,0.518,"(np.float64(0.483), np.float64(0.559))"
WITH 2ND DEGREE SA BLOCK MOBITZ II,9,0.517,"(np.float64(0.403), np.float64(0.666))"
LATERAL INFARCT,3,0.514,"(np.float64(0.416), np.float64(0.651))"
LEFT BUNDLE BRANCH BLOCK,18,0.51,"(np.float64(0.398), np.float64(0.643))"
WITH JUNCTIONAL ESCAPE COMPLEXES,184,0.494,"(np.float64(0.452), np.float64(0.533))"
PROLONGED QT,427,0.471,"(np.float64(0.446), np.float64(0.5))"
RIGHT ATRIAL ENLARGEMENT,201,0.442,"(np.float64(0.409), np.float64(0.48))"
WITH SINUS PAUSE,15,0.423,"(np.float64(0.259), np.float64(0.568))"
SINUS TACHYCARDIA,2210,0.416,"(np.float64(0.402), np.float64(0.431))"
WITH 1ST DEGREE AV BLOCK,123,0.385,"(np.float64(0.336), np.float64(0.448))"
WITH AV DISSOCIATION,70,0.378,"(np.float64(0.322), np.float64(0.448))"
WITH 2:1 AV CONDUCTION,40,0.337,"(np.float64(0.271), np.float64(0.41))"
WITH VARIABLE AV BLOCK,67,0.331,"(np.float64(0.28), np.float64(0.378))"
ACUTE PERICARDITIS,1,0.235,"(np.float64(0.226), np.float64(0.241))"
